,date_daily,symbol,marketcapname_daily,sector_daily,Date_daily,date_volume,marketcapname_volume,sector_volume,Date_volume,CumulativeCount
95,23-05-2025,NAZARA,Midcap,Telecom,2025-05-23,16-01-2025,Midcap,Telecom,2025-01-16,1.0
96,23-05-2025,PARAS,Midcap,Aerospace & Defence,2025-05-23,07-01-2025,Midcap,Aerospace & Defence,2025-01-07,3.0
97,23-05-2025,NUVOCO,Midcap,Industrials,2025-05-23,21-03-2025,Midcap,Industrials,2025-03-21,2.0
98,23-05-2025,MOL,Smallcap,Industrials,2025-05-23,16-10-2024,Smallcap,Industrials,2024-10-16,1.0
99,23-05-2025,DEVYANI,Largecap,Quick Service Restaurant,2025-05-23,,,,,
100,23-05-2025,TATVA,Smallcap,Industrials,2025-05-23,13-02-2025,Smallcap,Industrials,2025-02-13,3.0
101,23-05-2025,GRINFRA,Midcap,Realty,2025-05-23,19-03-2025,Midcap,Realty,2025-03-19,1.0
102,23-05-2025,IPL,Smallcap,Industrials,2025-05-23,24-03-2025,Smallcap,Industrials,2025-03-24,2.0
103,23-05-2025,SHYAMMETL,Largecap,Metals,2025-05-23,,,,,
104,23-05-2025,LODHA,Largecap,Realty,2025-05-23,,,,,
105,23-05-2025,CRAFTSMAN,Midcap,Auto,2025-05-23,,,,,
106,23-05-2025,YESBANK,Largecap,Bank,2025-05-23,09-05-2025,Largecap,Bank,2025-05-09,1.0
107,23-05-2025,ANURAS,Midcap,Industrials,2025-05-23,,,,,
108,23-05-2025,REPCOHOME,Smallcap,Finance,2025-05-23,,,,,
109,23-05-2025,NIBE,Smallcap,Aerospace & Defence,2025-05-23,,,,,
110,23-05-2025,RAILTEL,Midcap,Telecom,2025-05-23,16-10-2024,Midcap,Telecom,2024-10-16,3.0
111,23-05-2025,CIGNITITEC,Smallcap,I.T,2025-05-23,23-01-2025,Smallcap,I.T,2025-01-23,1.0
112,23-05-2025,HOMEFIRST,Midcap,Finance,2025-05-23,28-02-2025,Midcap,Finance,2025-02-28,1.0
